,recipe_name,original_cuisine,original_text,generated_text_greedy,target_cuisine
0,roasted red bell pepper butter,Indian,"cut bell pepper in half. grill, turning oregularly, until the skin is blackened. remove from heat. place in a plastic sandwich bag for 15 minutes. remove bell pepper from bag after 15 minutes and peel it to remove stalk and seeds. slice thinly. combine bell pepper with lemon juice and salt. process till it becomes a smooth paste in your blender or mixer. add butter, pepper and dried basil. mix well. for a smooth paste, blend in a little olive oil, a tsp. at a time, until the ingredients hold together. serve with fish, vegetables or on warm bread. store this butter refrigerated for upto 1 week and frozen for upto 1 month.",to make the sauce in a large saucepan heat the oil and add the garlic and and the tomatoes and the slightly brown add the tomatoes with their juice and seasoning and a simmer remove from heat and let cool for a least an hour or a the sauce into the blender or blend it into the smooth add the it into a blender or smooth and it reaches a smooth consistency this can be served with a sauce or a freezer bag freezes well,Italian
1,nita mehta's shahi kaaju aloo,Indian,"wash potatoes and peel. cut potatoes into 1 inch pieces. fry the potatoes to a deep golden brown and keep aside. grind cashews, yogurt, ginger, and garlic to a paste in a small coffee or spice grinder. keep cashew paste aside. heat 4 tbsp oil (note: second amount of oil) in a heavy based wok/pan. add black cumin and bay leaf. wait for 30 seconds until cumin stops sputtering. add onions and cook on low heat until onions turn light brown. add tumeric and garam masala. stir to mix well. add cashew-yogurt paste. stir for 1 minute. cook till dry. add cilantro / coriander. mix well for a minute. add water to get a gravy. boil and simmer for 2-3 minutes. add the fried potatoes to the gravy and simmer on low heat. cook on low heat till the gravy gets thick and coats the potatoes. reduce heat. add milk. mix well and remove fromheat. serve with rotis or paranthas.",spread the whole ones on the side of the knife to cut them in a shallow baking pan and sprinkle with salt and pepper on a cookie sheet and bake at 350f for 35-45 minutes or until tender is tender and set aside when cool is ready prepare wilted cooking heat a large saucepan over medium heat combine the and garlic and 1 tablespoon of olive oil add garlic and saute for 1 minute add add add flour and stir for 1 minutes add add in tomato paste and stir in the and add to the and stir to combine add 1 cup of water and stir and simmer for to a boil add add the and and and add the to the sauce and stir well to combine season with taste with salt pepper and pour in a large shallow dish sprinkle with parmesan over top sprinkle with parsley and parmesan cheese,Italian
2,bhindi bhaji,Indian,"wash bhindi in water and dry it using cloth or paper napkin. if possible, complete this process 2-3 hours prior to cooking. remove head and tail and chop it into 1/3-inch thick round circles.heat oil in a non-stick pan or heavy based kadai over medium flame. add cumin seeds and when they begin to crackle, add chopped garlic. sauté for 30 seconds.add chopped bhindi and mix well. cook on medium-low flame until bhindi turns dark green and shrinks. it will take approximately 6-8 minutes. stir in between occasionally.add chopped tomatoes, turmeric powder and salt; cook until tomatoes turn tender, approximately 2 minutes. add red chilli powder, garam masala powder and coriander powder; mix well. cook for a minute over low flame and turn off the flame. transfer prepared bhindi bhaji to a serving bowl. garnish with coriander leaves and serve with roti or paratha.",dust first 10 ingredients in a shallow dish and preheat oven to 375 degrees note if you can a few minutes heat oil in a medium over medium high heat add oil and cook stirring frequently until golden brown about 8 minutes per side remove garlic and and garlic to pan and cook for another minute or so or until garlic and increase heat to high and cook to a boil stirring often for about minutes minutes or until liquid is reduced thicken remove from heat and stir in parmesan cheese and salt and pepper to taste spread mixture over over top and serve with cheese if desired,Italian
3,ultimate lamb curry - tyler florence,Indian,"start heating vegetable oil in a heavy dutch oven over medium heat. meanwhile, in a spice mill, combine coriander, cardamom, fennel seed, cumin seed, and cloves. grind until powdery. add turmeric and process until evenly blended. pour spice mixture into hot oil and saute 2-3 minutes until very fragrant. add bay leaves, thai bird chili and curry leaves. sprinkle lamb with salt and pepper. add seasoned lamb to pot and stir. cook until brown, 5-7 minutes. combine onion, garlic and ginger in food processor. process into puree, then add puree to pot. cook until they start to give up moisture, about 8 minutes. add tomatoes and water. cover and simmer 40 minutes. skim fat from surface and discard. stir in yogurt and simmer 5 minutes more. serve over basmati rice with raita alongside. garnish with chopped cilantro and scallions.",while heating the cooking heat the oil in a large saute pan over medium heat add onion and garlic and cook pepper and saute until minutes or until soft begin to brown add edges of the and set aside add tomatoes and and pepper to the pot and bring to a boil reduce heat and simmer for 10 minutes add tomatoes are tender remove from heat and let cool for 10 to a minutes puree in a blender or food processor add smooth add to the final cooking liquid if necessary add a to a blender to a to the consistency of the pepper and cheese in a bowl and with salt and pepper serve with additional cheese and serve,Italian
4,vegetable idli,Indian,"heat oil in a pan. add mustard seeds. allow to crackle. add curry leaves, green chilli paste and ginger paste. add this seasoning to the yogurt. add roasted semolina to the yogurt mixture. add the chopped vegetables and greenpeas. add a little water and mix well to form a batter of pouring consistency. keep aside for 20 minutes. pour a little batter into each mould of an idli stand. steam for 15-20 minutes. serve hot.",in a sauce pan add olive oil and garlic and and seasonings for a few minutes add from heat add allow to to cool when cool crumble eggs in a bowl bowl add the and and whisk together add a ravioli to a shallow baking dish pour half of the marinara sauce in a bag allowing the to to to the mozzarella cheese and,Italian
5,indian scrambled eggs,Indian,melt butter. add chilies and onions. cook until almost golden. beat up eggs pour over chilies and onions salt and pepper. add curry leaf if you have it and like it stir until set.,heat butter and sauce in a add garlic seasonings and desired add salt pepper to needed add until desired consistency is no longer pink add pizza cheese and cheese if you like a pizza top with canned veggies,Italian
6,george's pizza dough,Italian,"heat water to 105 to 115°f, dissolve sugar in water, add yeast and proof until foamy (about 5 minutes). add flour, salt, and 2 tablespoon olive oil to food processor. turn food processor on. pour in water through feeding tube. process until dough forms a ball (about 1 minute). dough will be a little sticky. let dough rise in a large covered plastic container for about an 1 hour (until doubled in size). preheat oven with pizza stone to 500°f. cut dough in four pieces and roll one piece out on large flour dusted surface. then continue to stretch dough by letting it hang from your fingertips. pass dough around your finger tips so it will stretch evenly. place dough on peel dusted with cornmeal, top how you want it. cook until edges are golden (5-10 minutes). enjoy!",bring the water to a boil in a large pot add the water and carrots and for about 30 minutes or until the water has dried up add all the water the spices except for the lentils and a large bowl add the grated carrot which are all the wet add the to the mashed potato and and knead for a minutes minutes divide small balls roll out dough into a flat round balls roll each piece of a rolling pin on a lightly floured surface surface cover the dough in a a cast iron skillet or the the flattened dough dough the edges of the flattened or dough at a time they will get a hot golden brown on the edges are golden brown remove from oil and place on a serving plate or a paper or serve hot,Indian
7,"onion confit, walnut and gorgonzola pizza",Italian,"heat the oil in a large saute pan. add the onions, 1/2 teaspoons salt, and a few grinds of black pepper.saute over medium heat, gently scraping the pan with a wooden spoon to keep the onions from sticking as they caramelize. after about 35 minutes, the onions should be a rich golden color and very sweet. add the garlic, and saute for 5 minutes. add the wine and deglaze the pan with it. set the confit aside to cool. preheat the oven to 500*f. roll out the dough and place it on a lightly oiled pizza pan. brush with olive oil. spread the confit on the dough and sprinkle on the walnuts. follow with the gorgonzola cheese, then the mozzarella. bake the pizza for about 8-12 minutes, until the crust is golden and crisp. remove it from the oven and sprinkle with the parmesan cheese and sage.",add the flour in a large pan and add the the the oil and the heat and allow to cook for a minutes or the the heat allow to cool add the rice cabbage and onion and and and add salt to taste and the the and the add the cilantro leaves and the batter to the the batter heat the oil in a wok and the it over medium heat roll out the dough ball and a it in the back of the ladle on a hot rounded teaspoon of the batter into the center of the the dough do not use slide the dough back into the hot oil and cook for the surface to the surface cook for about minutes minutes the the carefully turn the the side to the other side remove from the oven and drain on the paper towels to serve,Indian
8,classic minestrone,Italian,"in a soup pot, heat olive oil over medium flame. add onion, carrot, celery, red pepper flakes, rosemary, 1 1/2 tsp salt, and 1/4 tsp pepper. cook, stirring occasionally, until onion begins to turn golden, 5-8 minutes. add tomatoes and cook until liquid begins to evaporate, 1-2 minutes. add potato, cabbage, beans and 7 c water. bring to a boil and add green beans. reduce to a simmer, cover and cook 20 min or until all the vegetables are tender. season with salt and pepper. add garlic and basil. serve sprinkled with parmigiano and a drizzle of extra virgin olive oil.",add the lentils in a large saucepan over medium heat add the onion and ginger and cook until the onion is translucent about 5 minutes add in garam masala cayenne and turmeric and and cook for 1 minute add lentils and cauliflower and lentils and bring to a boil reduce heat and simmer for 20 minutes add lentils are soft add lentils 35 minutes add the and lentils are tender add in the lentils temper with extra liquid of the spinach lentil mixture and lentils with salt and pepper to taste serve hot,Indian
9,panna cotta (coffee/vanilla flavoured),Italian,"first, soak the gelatine leaves in a small bowl filled with cold water and set aside. next, pour the cream into a small pan and turn the heat on (gentle heat) add the vanilla powder/extract. add the sugar, coffee and rum. stir gently for a few minutes until the cream gets close to the simmer point (avoid boiling the cream). if you have a thermometer, check that the cream reaches 90oc and, at that point, remove the pan from the heat. now, squeeze the gelatine leaves and add then to the pan. stir for a couple of minutes or until the gelatine is completely dissolved and strain the cream into a jug. now, pour the cream into the glasses (or fill 4 glasses half way) and put the glasses in the fridge for about 4-6 hours so that the panna cotta has time to set. finally, when you want to eat your panna cotta, i suggest you dust it with some cocoa powder and that's it. enjoy it! *note: the sachet i used contained about 1⁄2 g of vanilla extract in powder, however you can use vanilla extract in liquid form (just a few drops) or infuse a small vanilla pod.",pour the first 8 ingredients in a pan and add the and let it boil for about minutes minutes the heat and add to the heat the oil in a heavy pan and the onion and the and the the add the the and and cook for a minutes add the add and add and cook the spices and let the cook for the spices add the cooled and and add add the yogurt and and and let simmer for 10 minutes add add salt and taste and the add enough water to make a thick enough to handle cover the the mixture and let everything else you can make the the surface with the flour and the it in the the the fridge for a couple of hours in the fridge and let them cool completely before you can then store in in the freezer for up to 2 days in the recipe does not have a softer the better it can be kept for up in my house put in my fridge for keeps for a few days in fridge for next day,Indian
